iter	Accuracy	Logloss
0	0.8579166667	0.6567788696
1	0.8816666667	0.6108086141
2	0.8820833333	0.5786234538
3	0.8941666667	0.545008138
4	0.8983333333	0.5150854492
5	0.8975	0.4873840332
6	0.9	0.4599919637
7	0.9029166667	0.4381367493
8	0.9008333333	0.4197156525
9	0.90125	0.4042806753
10	0.905	0.388461736
11	0.9058333333	0.3704508209
12	0.9075	0.3569630686
13	0.9125	0.3442868042
14	0.91375	0.3317182414
15	0.915	0.323239797
16	0.9133333333	0.3140533956
17	0.9133333333	0.306075236
18	0.9166666667	0.2980826823
19	0.9158333333	0.2895687866
20	0.9179166667	0.2846434021
21	0.9183333333	0.2795847575
22	0.91875	0.2737985738
23	0.92	0.268256073
24	0.9204166667	0.2630844879
25	0.9229166667	0.257307078
26	0.9229166667	0.2536109416
27	0.9245833333	0.2489664459
28	0.9229166667	0.2465657298
29	0.925	0.2432820638
30	0.925	0.2399325816
31	0.9254166667	0.2361408997
32	0.9266666667	0.2337958018
33	0.9270833333	0.2305057526
34	0.92875	0.2279038747
35	0.9291666667	0.2248130035
36	0.9295833333	0.2226063538
37	0.93	0.2212093862
38	0.9291666667	0.2178352865
39	0.9295833333	0.2128539149
40	0.9304166667	0.2107220713
41	0.9304166667	0.2084818776
42	0.9320833333	0.2048847707
43	0.9325	0.2031613413
44	0.9329166667	0.2011562856
45	0.9325	0.1977519353
46	0.93375	0.1957188034
47	0.9333333333	0.1942444102
48	0.9345833333	0.1919633357
49	0.9341666667	0.1900709025
50	0.9370833333	0.1877998988
51	0.9375	0.1864079412
52	0.9375	0.1842220688
53	0.9375	0.1824807231
54	0.9375	0.1807590866
55	0.9379166667	0.1805856832
56	0.9383333333	0.1796227773
57	0.9383333333	0.1789490128
58	0.94	0.1773085149
59	0.9408333333	0.1755488714
60	0.9404166667	0.1734511185
61	0.9416666667	0.1726106008
62	0.9416666667	0.1721443176
63	0.9416666667	0.1707848485
64	0.9429166667	0.1699702581
65	0.9429166667	0.1689814504
66	0.945	0.1682533518
67	0.9441666667	0.167694575
68	0.9441666667	0.1665347036
69	0.9454166667	0.1656253815
70	0.9466666667	0.1648127874
71	0.94625	0.1643604787
72	0.94625	0.1640611776
73	0.94625	0.1630979919
74	0.94625	0.1625820923
75	0.94625	0.1615074793
76	0.94625	0.1599704234
77	0.9466666667	0.1594249217
78	0.9479166667	0.1582626724
79	0.9479166667	0.1572218196
80	0.9475	0.1571102015
81	0.9483333333	0.1558035787
82	0.94875	0.1554043833
83	0.9491666667	0.1550203196
84	0.94875	0.1546813583
85	0.9495833333	0.1542229716
86	0.9508333333	0.1532897949
87	0.95125	0.1523728307
88	0.9520833333	0.1519412359
89	0.9529166667	0.150600942
90	0.9529166667	0.1503380203
91	0.95375	0.1495917511
92	0.95375	0.1493097178
93	0.9533333333	0.1485338084
94	0.9525	0.1477816518
95	0.9533333333	0.1465279388
96	0.9533333333	0.146301651
97	0.9533333333	0.1457524872
98	0.9541666667	0.145525233
99	0.9545833333	0.1450214386
