iter	F1	Logloss
0	0.6137433187	0.6920698225
1	0.6168675977	0.6910230482
2	0.6081416592	0.690034562
3	0.616852677	0.6890544027
4	0.6202177234	0.6881041268
5	0.6152435123	0.6872159522
6	0.6196203581	0.686352058
7	0.6187970775	0.6854925217
8	0.6186871121	0.6846619349
9	0.6188451575	0.6838721265
10	0.6183869235	0.6830924349
11	0.6191305268	0.6823338328
12	0.6189211978	0.6815553864
13	0.6198664019	0.6808146832
14	0.6188881964	0.6801007506
15	0.6189423156	0.6794058842
16	0.6180026543	0.6787299283
17	0.618094148	0.6780539725
18	0.6187445255	0.6774054876
19	0.620025303	0.6767797265
20	0.6193360088	0.6761781678
21	0.6193251474	0.6755771539
22	0.6202473549	0.6750015097
23	0.6200028198	0.6744520135
24	0.6204732213	0.6738973033
25	0.6194160463	0.6733537215
26	0.6200360308	0.6728599453
27	0.6202984464	0.6723635232
28	0.6195563941	0.6718756615
29	0.6201443929	0.6713923134
30	0.6201837989	0.670921728
31	0.6199075507	0.6704721543
32	0.620032455	0.6700387675
33	0.6196789883	0.6696176764
34	0.619602541	0.6691915269
35	0.6200907229	0.6687765838
36	0.6201888729	0.6683747146
37	0.6204338651	0.6679826508
38	0.6204836596	0.6676059179
39	0.6203061839	0.6672471617
40	0.6204742519	0.666898211
41	0.6205742349	0.6665588323
42	0.6204234413	0.6662343175
43	0.6205824675	0.6658919815
44	0.6204806942	0.6655806185
45	0.6208328156	0.6652717458
46	0.6207400622	0.6649596045
47	0.6209613409	0.6646541559
48	0.621115019	0.6643660614
49	0.620932385	0.6640778113
50	0.6209028825	0.6638072267
51	0.620883446	0.6635276147
52	0.620940599	0.6632632558
53	0.6208139192	0.6630084688
54	0.6207861676	0.6627622422
55	0.6209313776	0.6625090895
56	0.621163753	0.6622564816
57	0.6210067705	0.6620229399
58	0.6210787589	0.6617652735
59	0.6209398436	0.6615354672
60	0.6209176317	0.6613029372
61	0.6212043609	0.6610921971
62	0.6211027724	0.6608815348
63	0.6210690136	0.6606622344
64	0.6209175207	0.6604658912
65	0.62085529	0.6602680695
66	0.6209354903	0.6600560064
67	0.6210283271	0.6598630874
68	0.6208846619	0.6596676003
69	0.6209356839	0.6594830082
70	0.6210540709	0.6592893888
71	0.6213567588	0.6591087655
72	0.6212496001	0.6589293874
73	0.6213973788	0.6587552234
74	0.6214749669	0.6585759231
75	0.6214992969	0.6583979458
76	0.6215559652	0.6582486067
77	0.6215882347	0.6580884504
78	0.6217280394	0.6579316405
79	0.6220321033	0.657782068
80	0.6222532298	0.6576232347
81	0.6225205624	0.6574809774
82	0.6226178633	0.6573275138
83	0.6225286706	0.6571881358
84	0.6226078728	0.657045645
85	0.6226031823	0.6568977067
86	0.6226084242	0.6567601965
87	0.6227174295	0.6566258769
88	0.6227068527	0.6564791837
89	0.62284775	0.6563466541
90	0.6230596291	0.6562141244
91	0.6232677661	0.6560891434
92	0.6232753449	0.6559498432
93	0.6233816906	0.6558281307
94	0.6235072343	0.6557106984
95	0.6234805963	0.6555862621
96	0.6235164996	0.6554660282
97	0.6234666693	0.6553361444
98	0.6234663531	0.6552125642
99	0.623610332	0.6550993342
100	0.6234924694	0.6549902288
101	0.6236672448	0.6548773879
102	0.6236775794	0.6547678155
103	0.6237565799	0.6546616672
104	0.6237810962	0.6545610443
105	0.6237456562	0.6544469582
106	0.6237129257	0.6543431446
107	0.6238596149	0.6542264905
108	0.6239817657	0.6541215874
109	0.623900771	0.6540184742
110	0.623986136	0.6539085905
111	0.6239604647	0.6538004967
112	0.6238748089	0.6537085897
113	0.6239412444	0.6536028306
114	0.6241507352	0.6535079664
